Make,Model,Drivetrain,Max Power,Max Torque,Length,Width,Height,Weight,Aspiration
Honda,Civic Type R (EK) '97,FF,176 HP,117.1 ft-lb,164.6 in.,66.7 in.,53.5 in.,2315 lbs.,NA
Honda,Civic Type R (EK) '98,FF,181 HP,119.4 ft-lb,164.8 in.,66.7 in.,53.5 in.,2315 lbs.,NA
Honda,Civic Type R (EK) Touring Car,FF,247 HP,148.7 ft-lb,164.6 in.,66.7 in.,51.4 in.,1863 lbs.,NA
Honda,Civic Type R (FK2) '15,FF,305 HP,295.0 ft-lb,172.8 in.,74.0 in.,57.5 in.,3042 lbs.,TC
Honda,Civic Type R (FL5) '22,FF,325 HP,309.5 ft-lb,180.9 in.,74.4 in.,55.3 in.,3153 lbs.,TC
Honda,Civic Type R Limited Edition (FK8) '20,FF,315 HP,295.0 ft-lb,179.5 in.,73.8 in.,56.5 in.,3020 lbs.,TC
Honda,Fit Hybrid '14,FF,138 HP,98.8 ft-lb,155.7 in.,66.7 in.,60.0 in.,2381 lbs.,NA
Honda,Integra Type R (DC2) '95,FF,197 HP,133.8 ft-lb,172.4 in.,66.7 in.,52.0 in.,2337 lbs.,NA
Honda,Integra Type R (DC2) '98,FF,198 HP,137.6 ft-lb,172.4 in.,66.7 in.,52.4 in.,2381 lbs.,NA
Honda,N-ONE RS '22,FF,63 HP,76.9 ft-lb,133.7 in.,58.1 in.,60.8 in.,1852 lbs.,TC
Honda,NSX '17,4WD,570 HP,405.9 ft-lb,176.8 in.,76.4 in.,47.8 in.,3924 lbs.,TC
Honda,NSX CONCEPT-GT '16,MR,603 HP,452.0 ft-lb,184.1 in.,76.8 in.,47.6 in.,2313 lbs.,TC
Honda,NSX GT500 '00,MR,481 HP,335.3 ft-lb,174.4 in.,75.2 in.,42.9 in.,2535 lbs.,NA
Honda,NSX GT500 '08,MR,518 HP,434.4 ft-lb,181.5 in.,78.7 in.,43.3 in.,2535 lbs.,NA
Honda,NSX Gr.3,MR,568 HP,431.0 ft-lb,181.6 in.,80.2 in.,46.0 in.,2866 lbs.,TC
Honda,NSX Gr.4,MR,394 HP,320.2 ft-lb,182.9 in.,87.4 in.,43.5 in.,2998 lbs.,TC
Honda,NSX Gr.B Rally Car,4WD,557 HP,422.5 ft-lb,177.5 in.,87.4 in.,47.9 in.,2866 lbs.,TC
Honda,NSX Type R '02,MR,290 HP,236.8 ft-lb,174.4 in.,71.3 in.,45.7 in.,2800 lbs.,NA
Honda,NSX Type R '92,MR,284 HP,225.6 ft-lb,174.4 in.,71.3 in.,45.7 in.,2712 lbs.,NA
Honda,Project 2&4 powered by RC213V,MR,211 HP,87.3 ft-lb,118.9 in.,71.7 in.,39.2 in.,893 lbs.,NA
Honda,RA272 '65,MR,228 HP,104.8 ft-lb,155.5 in.,65.9 in.,31.2 in.,1098 lbs.,NA
Honda,S2000 '99,FR,242 HP,160.5 ft-lb,162.8 in.,68.9 in.,50.6 in.,2734 lbs.,NA
Honda,S660 '15,MR,63 HP,77.2 ft-lb,133.7 in.,58.1 in.,46.5 in.,1830 lbs.,TC
Honda,S800 '66,FR,68 HP,48.4 ft-lb,131.3 in.,55.1 in.,47.8 in.,1587 lbs.,NA
Honda,Sports Vision Gran Turismo,MR,403 HP,295.2 ft-lb,167.3 in.,72.6 in.,47.0 in.,1982 lbs.,TC
Hyundai,ELANTRA N '23,FF,276 HP,289.3 ft-lb,184.1 in.,71.9 in.,55.7 in.,3197 lbs.,TC
Hyundai,ELANTRA N TC '24,FF,350 HP,332.1 ft-lb,185.4 in.,76.8 in.,55.7 in.,2789 lbs.,TC
Hyundai,Genesis Coupe 3.8 Track '13,FR,343 HP,291.9 ft-lb,182.3 in.,73.4 in.,54.5 in.,3433 lbs.,NA
Hyundai,Genesis Gr.3,FR,575 HP,400.1 ft-lb,194.7 in.,79.4 in.,50.5 in.,2756 lbs.,NA
Hyundai,Genesis Gr.4,FR,384 HP,303.6 ft-lb,186.4 in.,73.4 in.,52.9 in.,2976 lbs.,NA
Hyundai,Genesis Gr.B Rally Car,4WD,499 HP,342.6 ft-lb,189.2 in.,81.9 in.,56.1 in.,2756 lbs.,NA
Hyundai,IONIQ 5 N '24,4WD,641 HP,- ft-lb,185.6 in.,76.4 in.,62.4 in.,4872 lbs.,EV
INFINITI,CONCEPT Vision Gran Turismo,FR,535 HP,376.1 ft-lb,195.4 in.,80.7 in.,44.9 in.,3704 lbs.,NA
IsoRivolta,Zagato Vision Gran Turismo,FR,559 HP,428.0 ft-lb,172.8 in.,79.1 in.,43.1 in.,2535 lbs.,NA
Italdesign,EXENEO Vision Gran Turismo Off-road Mode,4WD,1219 HP,413.2 ft-lb,181.1 in.,82.7 in.,53.1 in.,2205 lbs.,NA
Italdesign,EXENEO Vision Gran Turismo Street Mode,4WD,1219 HP,413.2 ft-lb,181.1 in.,82.7 in.,47.2 in.,2205 lbs.,NA
Jaguar,D-type '54,FR,249 HP,240.1 ft-lb,154.0 in.,65.4 in.,46.1 in.,1874 lbs.,NA
Jaguar,E-type Coupé '61,FR,264 HP,260.3 ft-lb,175.4 in.,65.2 in.,48.1 in.,2866 lbs.,NA
Jaguar,F-type Gr.3,FR,552 HP,501.2 ft-lb,184.0 in.,78.3 in.,47.9 in.,2756 lbs.,SC
Jaguar,F-type Gr.4,FR,399 HP,369.8 ft-lb,181.5 in.,75.8 in.,49.6 in.,2976 lbs.,SC
Jaguar,F-type R Coupé '14,FR,542 HP,501.2 ft-lb,176.0 in.,75.8 in.,51.7 in.,3638 lbs.,SC
Jaguar,Vision Gran Turismo Coupé,4WD,1004 HP,- ft-lb,184.2 in.,87.3 in.,40.7 in.,3086 lbs.,EV
Jaguar,Vision Gran Turismo Roadster,4WD,1004 HP,- ft-lb,184.2 in.,87.3 in.,40.7 in.,3086 lbs.,EV
Jaguar,Vision Gran Turismo SV,4WD,1876 HP,- ft-lb,218.1 in.,87.3 in.,42.6 in.,3086 lbs.,EV
Jaguar,XJ13 '66,MR,510 HP,386.2 ft-lb,176.5 in.,73.0 in.,38.0 in.,2200 lbs.,NA
Jaguar,XJ220 '92,MR,515 HP,473.0 ft-lb,191.3 in.,78.7 in.,45.3 in.,3025 lbs.,TC
Jaguar,XJR-9 '88,MR,749 HP,575.8 ft-lb,189.0 in.,78.7 in.,40.6 in.,1971 lbs.,NA
Jeep,Willys MB '45,4WD,60 HP,104.8 ft-lb,132.3 in.,62.0 in.,71.7 in.,2454 lbs.,NA
KTM,X-BOW R '12,MR,298 HP,295.2 ft-lb,147.2 in.,75.6 in.,47.4 in.,1742 lbs.,TC
LEXUS,"LF-LC GT ""Vision Gran Turismo""",FR,612 HP,339.9 ft-lb,198.4 in.,82.8 in.,47.9 in.,2370 lbs.,TC
Lambo,V12 Vision Gran Turismo,4WD,774 HP,531.6 ft-lb,186.2 in.,83.3 in.,37.8 in.,1806 lbs.,NA
Lamborghini,Aventador LP 700-4 '11,4WD,690 HP,509.1 ft-lb,188.2 in.,79.9 in.,44.7 in.,3472 lbs.,NA
Lamborghini,Aventador LP 750-4 Superveloce '15,4WD,739 HP,509.1 ft-lb,190.4 in.,79.9 in.,44.7 in.,3362 lbs.,NA
Lamborghini,Countach 25th Anniversary '88,MR,449 HP,363.0 ft-lb,163.0 in.,78.7 in.,42.1 in.,3285 lbs.,NA
Lamborghini,Countach LP400 '74,MR,373 HP,266.0 ft-lb,163.0 in.,74.4 in.,42.1 in.,2348 lbs.,NA
Lamborghini,Diablo GT '00,MR,571 HP,465.0 ft-lb,174.4 in.,80.3 in.,43.9 in.,3285 lbs.,NA
Lamborghini,Gallardo LP 560-4 '08,4WD,552 HP,398.5 ft-lb,171.1 in.,74.8 in.,45.9 in.,3108 lbs.,NA
Lamborghini,Huracán GT3 '15,MR,576 HP,428.1 ft-lb,175.5 in.,80.7 in.,44.5 in.,2712 lbs.,NA
Lamborghini,Huracán Gr.4,4WD,404 HP,278.1 ft-lb,179.1 in.,76.5 in.,45.1 in.,3009 lbs.,NA
Lamborghini,Huracán LP 610-4 '15,4WD,601 HP,413.2 ft-lb,175.6 in.,75.7 in.,45.9 in.,3135 lbs.,NA
Lamborghini,Miura P400 Bertone Prototype '67,MR,349 HP,271.9 ft-lb,171.7 in.,69.3 in.,41.3 in.,2161 lbs.,NA
Lamborghini,Murciélago LP 640 '09,4WD,631 HP,487.0 ft-lb,181.5 in.,81.0 in.,44.7 in.,3671 lbs.,NA
Lamborghini,Urus '18,4WD,641 HP,627.1 ft-lb,201.3 in.,79.4 in.,64.5 in.,4844 lbs.,TC
Lamborghini,Veneno '14,4WD,739 HP,531.6 ft-lb,197.6 in.,81.7 in.,46.1 in.,3197 lbs.,NA
Lancia,Delta HF Integrale Evoluzione '91,4WD,209 HP,224.2 ft-lb,153.5 in.,69.7 in.,53.7 in.,2976 lbs.,TC
Lancia,Delta HF Integrale Rally Car '92,4WD,330 HP,356.7 ft-lb,153.5 in.,69.7 in.,53.5 in.,2425 lbs.,TC
Lancia,Stratos '73,MR,185 HP,166.3 ft-lb,146.1 in.,68.9 in.,43.9 in.,2161 lbs.,NA
Lexus,LC500 '17,FR,469 HP,398.5 ft-lb,187.8 in.,75.6 in.,53.0 in.,4277 lbs.,NA
Lexus,LFA '10,FR,552 HP,353.6 ft-lb,177.4 in.,74.6 in.,48.0 in.,3263 lbs.,NA
Lexus,RC F '14,FR,469 HP,390.5 ft-lb,185.2 in.,72.8 in.,54.7 in.,3946 lbs.,NA
Lexus,RC F GT3 '17,FR,535 HP,454.2 ft-lb,190.8 in.,79.9 in.,51.6 in.,2866 lbs.,NA
Lexus,RC F GT3 prototype '16,FR,527 HP,448.4 ft-lb,192.9 in.,80.3 in.,51.6 in.,2866 lbs.,NA
Lexus,RC F GT500 '16,FR,614 HP,434.3 ft-lb,200.8 in.,76.8 in.,48.3 in.,2249 lbs.,TC
Lexus,RC F Gr.4,FR,419 HP,348.4 ft-lb,187.4 in.,72.8 in.,53.1 in.,3086 lbs.,NA
Lexus,SC430 GT500 '08,FR,516 HP,431.6 ft-lb,185.0 in.,75.8 in.,47.2 in.,2425 lbs.,NA
MAZDA,RX-VISION GT3 CONCEPT,FR,562 HP,397.8 ft-lb,180.7 in.,81.7 in.,44.1 in.,2756 lbs.,NA
MAZDA,SPIRIT RACING ROADSTER 12R '25,FR,197 HP,159.1 ft-lb,154.1 in.,68.3 in.,49.0 in.,2315 lbs.,NA
MAZDA3,Gr.4,FF,380 HP,319.6 ft-lb,176.0 in.,77.0 in.,54.3 in.,2646 lbs.,TC
MAZDA3,X Burgundy Selection '19,4WD,177 HP,164.9 ft-lb,175.6 in.,70.7 in.,56.7 in.,3263 lbs.,NA
MINI,Clubman Vision Gran Turismo,4WD,388 HP,315.4 ft-lb,172.8 in.,75.6 in.,54.7 in.,2315 lbs.,TC
MINI,Cooper S '05,FF,167 HP,162.3 ft-lb,143.9 in.,66.5 in.,57.3 in.,2601 lbs.,SC
Maserati,A6GCS/53 Spyder '54,FR,166 HP,143.2 ft-lb,151.2 in.,60.2 in.,55.1 in.,1631 lbs.,NA
Maserati,GranTurismo S '08,FR,439 HP,361.6 ft-lb,192.2 in.,75.4 in.,53.3 in.,3924 lbs.,NA
Maserati,MC20 '20,MR,621 HP,538.8 ft-lb,183.8 in.,77.4 in.,48.2 in.,3307 lbs.,TC
Maserati,Merak SS '80,MR,216 HP,198.9 ft-lb,170.5 in.,69.6 in.,44.6 in.,3131 lbs.,NA
Mazda,787B '91,MR,690 HP,448.4 ft-lb,188.3 in.,78.5 in.,39.5 in.,1830 lbs.,NA
Mazda,Atenza Gr.3,FR,567 HP,419.7 ft-lb,200.0 in.,80.7 in.,54.3 in.,2822 lbs.,TC
Mazda,Atenza Gr.3 Road Car,FR,483 HP,339.7 ft-lb,196.5 in.,80.7 in.,54.3 in.,3197 lbs.,TC
Mazda,Atenza Gr.4,4WD,393 HP,316.5 ft-lb,196.5 in.,72.4 in.,53.9 in.,3042 lbs.,TC
Mazda,Atenza Sedan XD L Package '15,4WD,172 HP,309.5 ft-lb,191.5 in.,72.4 in.,57.1 in.,3527 lbs.,TC
Mazda,CX-30 X Smart Edition '21,FF,187 HP,177.2 ft-lb,173.0 in.,70.7 in.,60.6 in.,3285 lbs.,NA
Mazda,Demio XD Touring '15,FF,103 HP,162.0 ft-lb,159.8 in.,66.7 in.,59.1 in.,2381 lbs.,TC
Mazda,Eunos Roadster (NA Special Package) '89,FR,117 HP,101.2 ft-lb,156.3 in.,65.9 in.,48.6 in.,2072 lbs.,NA
Mazda,LM55 Vision Gran Turismo,4WD,- HP,- ft-lb,- in.,- in.,- in.,- lbs.,NA
Mazda,LM55 Vision Gran Turismo (Gr.1),4WD,641 HP,416.6 ft-lb,187.0 in.,80.1 in.,33.9 in.,1940 lbs.,NA
Mazda,RX-7 GT-X (FC) '90,FR,203 HP,198.9 ft-lb,170.7 in.,66.5 in.,50.0 in.,2756 lbs.,TC
Mazda,RX-7 Spirit R Type A (FD) '02,FR,292 HP,245.3 ft-lb,168.7 in.,69.3 in.,48.4 in.,2800 lbs.,TC
Mazda,RX-8 Spirit R '12,FR,230 HP,159.1 ft-lb,176.0 in.,69.7 in.,52.8 in.,2976 lbs.,NA
Mazda,RX-VISION '15,FR,517 HP,360.8 ft-lb,172.8 in.,75.8 in.,45.7 in.,2844 lbs.,NA
Mazda,RX500 '70,MR,247 HP,170.6 ft-lb,170.5 in.,67.7 in.,41.9 in.,1874 lbs.,NA
Mazda,Roadster NR-A (ND) '22,FR,130 HP,113.8 ft-lb,154.1 in.,68.3 in.,48.6 in.,2227 lbs.,NA
Mazda,Roadster S (ND) '15,FR,128 HP,110.6 ft-lb,154.1 in.,68.3 in.,48.6 in.,2183 lbs.,NA
Mazda,Roadster Touring Car,FR,205 HP,148.9 ft-lb,156.2 in.,70.2 in.,46.8 in.,1753 lbs.,NA
Mazda,ɛ̃fini RX-7 Type R (FD) '91,FR,251 HP,216.9 ft-lb,168.5 in.,69.3 in.,48.4 in.,2778 lbs.,TC
McLaren,650S Coupe '14,MR,641 HP,500.5 ft-lb,177.6 in.,75.1 in.,47.2 in.,2932 lbs.,TC
McLaren,650S GT3 '15,MR,542 HP,412.9 ft-lb,178.5 in.,80.3 in.,47.2 in.,2734 lbs.,TC
McLaren,650S Gr.4,MR,399 HP,312.3 ft-lb,180.1 in.,75.1 in.,45.7 in.,2866 lbs.,TC
McLaren,F1 '94,MR,626 HP,480.2 ft-lb,168.8 in.,71.7 in.,44.9 in.,2513 lbs.,NA
McLaren,F1 GTR - BMW '95,MR,600 HP,480.4 ft-lb,169.0 in.,71.7 in.,44.9 in.,2315 lbs.,NA
McLaren,MP4-12C '10,MR,600 HP,465.0 ft-lb,177.5 in.,75.1 in.,47.2 in.,2976 lbs.,TC
McLaren,MP4/4 '88,MR,675 HP,313.1 ft-lb,173.0 in.,84.0 in.,37.0 in.,1190 lbs.,TC
McLaren,P1 GTR '16,MR,986 HP,607.5 ft-lb,180.6 in.,76.6 in.,44.8 in.,2965 lbs.,TC
McLaren,Ultimate Vision Gran Turismo,MR,1134 HP,627.8 ft-lb,168.8 in.,76.8 in.,38.9 in.,1984 lbs.,TC
McLaren,Ultimate Vision Gran Turismo (Gr.1),MR,813 HP,488.3 ft-lb,168.8 in.,76.8 in.,38.9 in.,1984 lbs.,TC
Mercedes-AMG,C 63 S '15,FR,503 HP,516.4 ft-lb,187.0 in.,73.9 in.,55.2 in.,3803 lbs.,TC
Mercedes-AMG,GT Black Series '20,FR,719 HP,590.1 ft-lb,181.3 in.,81.7 in.,50.4 in.,3395 lbs.,TC
Mercedes-AMG,GT R '17,FR,576 HP,516.4 ft-lb,179.1 in.,78.9 in.,50.6 in.,3660 lbs.,TC
Mercedes-AMG,GT S '15,FR,502 HP,478.8 ft-lb,179.1 in.,76.4 in.,50.8 in.,3461 lbs.,TC
Mercedes-AMG,GT Safety Car,FR,502 HP,478.8 ft-lb,179.1 in.,76.4 in.,50.8 in.,3461 lbs.,TC
Mercedes-AMG,GT3 '16,FR,614 HP,531.1 ft-lb,179.9 in.,80.7 in.,49.2 in.,2921 lbs.,NA
Mercedes-AMG,GT3 '20,FR,614 HP,531.1 ft-lb,186.9 in.,80.7 in.,48.7 in.,2833 lbs.,NA
Mercedes-Benz,190 E 2.5-16 Evolution II '91,FR,231 HP,180.8 ft-lb,178.9 in.,67.7 in.,52.8 in.,2954 lbs.,NA
Mercedes-Benz,300 SEL 6.8 AMG '71,FR,422 HP,443.0 ft-lb,196.9 in.,71.3 in.,52.0 in.,3605 lbs.,NA
Mercedes-Benz,300 SL (W194) '52,FR,178 HP,207.7 ft-lb,166.1 in.,70.5 in.,49.8 in.,2381 lbs.,NA
Mercedes-Benz,300 SL Coupé '54,FR,212 HP,202.5 ft-lb,178.0 in.,70.5 in.,51.2 in.,2855 lbs.,NA
Mercedes-Benz,A 45 AMG 4MATIC '13,4WD,355 HP,331.9 ft-lb,171.6 in.,70.1 in.,55.8 in.,3428 lbs.,TC
Mercedes-Benz,AMG Vision Gran Turismo,FR,576 HP,590.4 ft-lb,189.8 in.,78.7 in.,43.7 in.,3053 lbs.,TC
Mercedes-Benz,AMG Vision Gran Turismo Racing Series,FR,590 HP,604.1 ft-lb,189.8 in.,78.7 in.,43.7 in.,2866 lbs.,TC
Mercedes-Benz,CLK-LM '98,MR,599 HP,397.8 ft-lb,192.9 in.,78.7 in.,44.4 in.,2072 lbs.,NA
Mercedes-Benz,S Barker Tourer '29,FR,177 HP,318.9 ft-lb,185.0 in.,66.9 in.,63.0 in.,2800 lbs.,SC
Mercedes-Benz,SLR McLaren '09,FR,616 HP,575.6 ft-lb,183.3 in.,75.1 in.,49.6 in.,3898 lbs.,SC
Mercedes-Benz,SLS AMG '10,FR,570 HP,479.7 ft-lb,182.6 in.,76.3 in.,49.7 in.,3571 lbs.,NA
Mercedes-Benz,SLS AMG GT3 '11,FR,614 HP,531.1 ft-lb,185.4 in.,78.3 in.,47.0 in.,2976 lbs.,NA
Mercedes-Benz,SLS AMG Gr.4,FR,419 HP,352.6 ft-lb,182.6 in.,76.3 in.,49.7 in.,3120 lbs.,NA
Mercedes-Benz,Unimog Type 411 '62,4WD,29 HP,74.4 ft-lb,149.6 in.,65.7 in.,84.3 in.,4277 lbs.,NA
Mercedes-Benz,W 196 R '55,FR,289 HP,182.2 ft-lb,158.5 in.,64.0 in.,40.9 in.,1841 lbs.,NA
Mine's,BNR34 GT-R N1 base,4WD,621 HP,463.4 ft-lb,181.1 in.,70.3 in.,50.8 in.,2976 lbs.,TC
Mini-Cooper,'S' '65,FF,64 HP,54.9 ft-lb,120.2 in.,55.5 in.,53.0 in.,1334 lbs.,NA
Mitsubishi,Concept XR-PHEV EVOLUTION Vision Gran Turismo,4WD,502 HP,748.6 ft-lb,175.7 in.,89.1 in.,53.2 in.,2976 lbs.,TC
Mitsubishi,FTO GP Version R '97,FF,197 HP,147.9 ft-lb,171.9 in.,68.3 in.,51.2 in.,2535 lbs.,NA
Mitsubishi,GTO Twin Turbo '91,4WD,285 HP,307.3 ft-lb,179.3 in.,72.4 in.,50.6 in.,3748 lbs.,TC
Mitsubishi,Lancer Evolution Final Edition '15,4WD,309 HP,316.0 ft-lb,177.0 in.,71.3 in.,58.3 in.,3373 lbs.,TC
Mitsubishi,Lancer Evolution Final Edition Gr.3,FR,610 HP,481.9 ft-lb,185.5 in.,80.5 in.,52.6 in.,2844 lbs.,TC
Mitsubishi,Lancer Evolution Final Edition Gr.4,4WD,389 HP,341.4 ft-lb,179.5 in.,71.3 in.,56.2 in.,2932 lbs.,TC
Mitsubishi,Lancer Evolution Final Edition Gr.B Rally Car,4WD,521 HP,457.1 ft-lb,183.1 in.,80.5 in.,57.0 in.,2844 lbs.,TC
Mitsubishi,Lancer Evolution Final Edition Gr.B Road Car,4WD,473 HP,414.5 ft-lb,182.2 in.,80.5 in.,53.1 in.,3142 lbs.,TC
Mitsubishi,Lancer Evolution III GSR '95,4WD,264 HP,227.8 ft-lb,169.7 in.,66.7 in.,55.9 in.,2778 lbs.,TC
Mitsubishi,Lancer Evolution IV GSR '96,4WD,273 HP,260.3 ft-lb,170.5 in.,66.5 in.,55.7 in.,2976 lbs.,TC
Mitsubishi,Lancer Evolution IX MR GSR '06,4WD,277 HP,295.2 ft-lb,176.8 in.,69.7 in.,56.7 in.,3131 lbs.,TC
Mitsubishi,Lancer Evolution V GSR '98,4WD,306 HP,305.8 ft-lb,171.3 in.,69.7 in.,55.7 in.,2998 lbs.,TC
Mitsubishi,Lancer Evolution VI GSR T.M. EDITION Special Color Package '99,4WD,311 HP,305.0 ft-lb,171.3 in.,69.7 in.,55.3 in.,2998 lbs.,TC
Mitsubishi,Lancer Evolution VIII MR GSR '04,4WD,276 HP,295.2 ft-lb,176.8 in.,69.7 in.,57.1 in.,3086 lbs.,TC
NISMO,400R '95,4WD,394 HP,345.7 ft-lb,184.1 in.,72.0 in.,52.4 in.,3417 lbs.,TC
NISMO,R34 GT-R Z-tune '05,4WD,493 HP,397.8 ft-lb,181.1 in.,71.3 in.,52.4 in.,3527 lbs.,TC
NISSAN,CONCEPT 2020 Vision Gran Turismo,4WD,- HP,- ft-lb,- in.,- in.,- in.,- lbs.,TC
Nissan,180SX Type X '96,FR,203 HP,202.5 ft-lb,178.0 in.,66.7 in.,50.8 in.,2690 lbs.,TC
Nissan,Fairlady 240ZG (HS30) '71,FR,147 HP,151.8 ft-lb,169.5 in.,66.5 in.,50.6 in.,2227 lbs.,NA
Nissan,Fairlady Z (Z34) '08,FR,331 HP,269.3 ft-lb,167.3 in.,72.6 in.,51.8 in.,3373 lbs.,NA
Nissan,Fairlady Z 300ZX TwinTurbo 2seater (Z32) '89,FR,276 HP,286.4 ft-lb,169.7 in.,70.5 in.,49.2 in.,3329 lbs.,TC
Nissan,Fairlady Z 432 '69,FR,157 HP,130.1 ft-lb,162.0 in.,64.2 in.,50.8 in.,2293 lbs.,NA
Nissan,Fairlady Z Version S (Z33) '07,FR,310 HP,264.4 ft-lb,169.9 in.,71.5 in.,51.8 in.,3263 lbs.,NA
Nissan,GT-R GT500 '08,FR,527 HP,406.2 ft-lb,189.0 in.,78.7 in.,43.3 in.,2425 lbs.,NA
Nissan,GT-R GT500 '99,FR,498 HP,520.7 ft-lb,181.1 in.,74.2 in.,48.0 in.,2646 lbs.,TC
Nissan,GT-R Gr.4,4WD,428 HP,368.8 ft-lb,188.2 in.,74.6 in.,52.8 in.,3197 lbs.,TC
Nissan,GT-R Gr.B Rally Car,4WD,542 HP,466.5 ft-lb,188.2 in.,80.2 in.,53.1 in.,2976 lbs.,TC
Nissan,GT-R LM NISMO '15,4WD,604 HP,691.2 ft-lb,183.1 in.,74.6 in.,41.3 in.,1940 lbs.,TC
Nissan,GT-R NISMO '17,4WD,591 HP,480.9 ft-lb,184.6 in.,74.6 in.,53.9 in.,3836 lbs.,TC
Nissan,GT-R NISMO (R32) '90,4WD,306 HP,289.0 ft-lb,178.9 in.,69.1 in.,52.8 in.,3086 lbs.,TC
Nissan,GT-R NISMO GT3 '13,FR,591 HP,506.3 ft-lb,188.2 in.,80.2 in.,53.1 in.,2866 lbs.,TC
Nissan,GT-R NISMO GT3 '18,FR,576 HP,488.2 ft-lb,190.2 in.,80.2 in.,53.1 in.,2833 lbs.,TC
Nissan,GT-R NISMO GT500 '16,FR,612 HP,434.0 ft-lb,188.0 in.,76.8 in.,46.9 in.,2249 lbs.,TC
Nissan,GT-R Premium edition '17,4WD,564 HP,466.5 ft-lb,185.4 in.,74.6 in.,53.9 in.,3902 lbs.,TC
Nissan,GT-R Premium edition T-spec '24,4WD,562 HP,470.1 ft-lb,185.4 in.,74.6 in.,53.9 in.,3880 lbs.,TC
Nissan,GT-R Safety Car,4WD,564 HP,466.5 ft-lb,185.4 in.,74.6 in.,53.9 in.,3836 lbs.,TC
Nissan,Qashqai Tekna 190 2wd e-Power '22,FF,187 HP,- ft-lb,174.2 in.,72.2 in.,64.0 in.,3580 lbs.,TC
Nissan,R92CP '92,MR,788 HP,578.6 ft-lb,189.0 in.,78.3 in.,43.3 in.,1984 lbs.,TC
Nissan,Sileighty '98,FR,203 HP,202.5 ft-lb,176.0 in.,66.5 in.,50.8 in.,2579 lbs.,TC
Nissan,Silvia K's Aero (S14) '96,FR,216 HP,202.5 ft-lb,178.0 in.,68.1 in.,51.0 in.,2756 lbs.,TC
Nissan,Silvia K's Dia Selection (S13) '90,FR,171 HP,166.3 ft-lb,176.0 in.,66.5 in.,50.8 in.,2513 lbs.,TC
Nissan,Silvia K's Type S (S14) '94,FR,216 HP,202.5 ft-lb,177.2 in.,68.1 in.,51.0 in.,2690 lbs.,TC
Nissan,Silvia Q's (S13) '88,FR,132 HP,117.1 ft-lb,176.0 in.,66.5 in.,50.8 in.,2403 lbs.,NA
Nissan,Silvia spec-R Aero (S15) '02,FR,246 HP,202.5 ft-lb,175.0 in.,66.7 in.,50.6 in.,2734 lbs.,TC
Nissan,Silvia spec-R Aero (S15) Touring Car,FR,355 HP,259.2 ft-lb,175.0 in.,66.7 in.,50.6 in.,2205 lbs.,TC
Nissan,Skyline 2000GT-R (KPGC110) '73,FR,157 HP,130.1 ft-lb,175.6 in.,66.7 in.,54.3 in.,2524 lbs.,NA
Nissan,Skyline GT-R V･spec (R33) '97,4WD,319 HP,314.6 ft-lb,184.1 in.,70.1 in.,53.5 in.,3395 lbs.,TC
Nissan,Skyline GT-R V･spec II (R32) '94,4WD,306 HP,289.0 ft-lb,178.9 in.,69.1 in.,52.8 in.,3307 lbs.,TC
Nissan,Skyline GT-R V･spec II Nür (R34) '02,4WD,336 HP,346.3 ft-lb,181.1 in.,70.3 in.,53.5 in.,3439 lbs.,TC
Nissan,Skyline GTS-R (R31) '87,FR,207 HP,180.8 ft-lb,183.5 in.,66.5 in.,53.7 in.,2954 lbs.,TC
Nissan,Skyline Hard Top 2000GT-R (KPGC10) '70,FR,157 HP,130.1 ft-lb,170.5 in.,65.6 in.,53.9 in.,2425 lbs.,NA
Nissan,Skyline Super Silhouette Group 5 '84,FR,561 HP,397.8 ft-lb,199.4 in.,78.0 in.,48.8 in.,2216 lbs.,TC
Nissan,Z Performance '23,FR,399 HP,350.7 ft-lb,172.4 in.,72.6 in.,51.8 in.,3402 lbs.,TC
Opel,Corsa GSE Vision Gran Turismo,4WD,788 HP,- ft-lb,165.0 in.,78.9 in.,55.1 in.,2579 lbs.,EV
PEUGEOT,Vision Gran Turismo,4WD,873 HP,622.0 ft-lb,182.7 in.,89.8 in.,40.9 in.,1929 lbs.,TC
PEUGEOT,Vision Gran Turismo (Gr.3),MR,542 HP,409.3 ft-lb,188.5 in.,86.8 in.,38.1 in.,2756 lbs.,TC
Pagani,Huayra '13,MR,730 HP,811.8 ft-lb,181.3 in.,80.2 in.,46.0 in.,2976 lbs.,TC
Pagani,Zonda R '09,MR,737 HP,524.0 ft-lb,192.4 in.,79.3 in.,44.9 in.,2359 lbs.,NA
Peugeot,205 GTI '88,FF,128 HP,121.8 ft-lb,145.9 in.,62.6 in.,53.3 in.,1929 lbs.,NA
Peugeot,205 Turbo 16 Evolution 2 '86,4WD,448 HP,361.6 ft-lb,150.4 in.,66.9 in.,53.3 in.,2006 lbs.,TC
Peugeot,208 GTi by Sport '14,FF,204 HP,221.3 ft-lb,156.5 in.,68.5 in.,57.5 in.,2646 lbs.,TC
Peugeot,908 HDi FAP '10,MR,700 HP,885.6 ft-lb,181.5 in.,78.7 in.,40.6 in.,2050 lbs.,TC
Peugeot,"L500R HYbrid Vision Gran Turismo, 2017",4WD,509 HP,250.9 ft-lb,194.3 in.,78.7 in.,39.5 in.,2205 lbs.,TC
